person,personLabel,parentLabel,linkcount
http://www.wikidata.org/entity/Q1338236,Xavier Miserachs,Montserrat Ribalta i Escoda,9
http://www.wikidata.org/entity/Q216362,August von Goethe,Johann Wolfgang von Goethe,8
http://www.wikidata.org/entity/Q3267042,Li Min,Mao Zedong,8
http://www.wikidata.org/entity/Q73975,Hans Blum,Robert Blum,8
http://www.wikidata.org/entity/Q265834,Anne Danican Philidor,André Danican Philidor,8
http://www.wikidata.org/entity/Q1651229,Edward Garnett,Richard Garnett,8
http://www.wikidata.org/entity/Q89645,Johann Jacob Paul Moldenhawer,Johann Heinrich Daniel Moldenhawer,8
http://www.wikidata.org/entity/Q3197069,Kinga Dunin,Janusz Dunin,8
http://www.wikidata.org/entity/Q6098027,Johan Frederik Vilhelm Schlegel,Johann Heinrich Schlegel,8
http://www.wikidata.org/entity/Q2723204,Superboy-Prime,Lara Lor-Van,8
http://www.wikidata.org/entity/Q3170484,Jean Babelon,Ernest Babelon,8
http://www.wikidata.org/entity/Q941189,Mikel Irujo Amezaga,Arantzazu Amezaga Iribarren,8
http://www.wikidata.org/entity/Q1748974,Paul Schuster Taylor,Rose Schuster Taylor,8
http://www.wikidata.org/entity/Q113706,Fritz Schöll,Adolf Schöll,7
http://www.wikidata.org/entity/Q2059434,Paul Emil Jacobs,Christian Friedrich Wilhelm Jacobs,7
http://www.wikidata.org/entity/Q6042284,Alexandru A. Philippide,Alexandru Philippide,7
http://www.wikidata.org/entity/Q17003404,Jean François Gail,Jean-Baptiste Gail,7
http://www.wikidata.org/entity/Q4820726,August Matthiae,Georg Matthiae,7
http://www.wikidata.org/entity/Q273240,Belle da Costa Greene,Richard Theodore Greener,7
http://www.wikidata.org/entity/Q2218764,Samuel P. Woodward,Samuel Woodward,7
http://www.wikidata.org/entity/Q3101441,George Brett,William Howard Brett,7
http://www.wikidata.org/entity/Q441688,Nicola LeFanu,William LeFanu,7
http://www.wikidata.org/entity/Q1248001,Joseph Planta,Andrew Planta,7
http://www.wikidata.org/entity/Q3719926,Edward Augustus Holyoke,Edward Holyoke,7
http://www.wikidata.org/entity/Q1338449,Emmanuel des Essarts,Alfred Des Essarts,7
http://www.wikidata.org/entity/Q320827,I. E. S. Edwards,Edward Edwards,7
http://www.wikidata.org/entity/Q355738,Alejandro Planchart,Enrique Planchart Loynaz,7
http://www.wikidata.org/entity/Q2331842,Stanley Wojcicki,Janina Wójcicka Hoskins,7
http://www.wikidata.org/entity/Q17480899,Antoni,Josefa Callao Mínguez,7
http://www.wikidata.org/entity/Q4020008,William Franklin,Benjamin Franklin,6
http://www.wikidata.org/entity/Q5444579,Fernando Alessandri,Arturo Alessandri,6
http://www.wikidata.org/entity/Q15507802,Wilhelm Henke,Ernst Ludwig Theodor Henke,6
http://www.wikidata.org/entity/Q102601,Robert Michaelis von Olshausen,Justus Olshausen,6
http://www.wikidata.org/entity/Q108854,Ernst von Harnack,Adolf von Harnack,6
http://www.wikidata.org/entity/Q1539769,Gottlieb Emanuel Haller,Albrecht von Haller,6
http://www.wikidata.org/entity/Q97525,Otto Volger,Wilhelm Friedrich Volger,6
http://www.wikidata.org/entity/Q7660922,Sylvia Gosse,Edmund Gosse,6
http://www.wikidata.org/entity/Q70338,Daniel Gotthilf Moldenhawer,Johann Heinrich Daniel Moldenhawer,6
http://www.wikidata.org/entity/Q141722,Wilhelm Deecke,Ernst Deecke,6
http://www.wikidata.org/entity/Q4725732,Alice Bolingbroke Woodward,Henry Woodward,6
http://www.wikidata.org/entity/Q6240646,Harald Wieselgren,Peter Wieselgren,6
http://www.wikidata.org/entity/Q1423200,Mary Tighe,William Blachford,6
http://www.wikidata.org/entity/Q4021169,Władysław Skłodowski,Józef Skłodowski,6
http://www.wikidata.org/entity/Q461283,Pierre Villon,Moïse Ginsburger,6
http://www.wikidata.org/entity/Q2078164,Chick Evans,Charles Evans,6
http://www.wikidata.org/entity/Q2647049,Preben Munthe,Wilhelm Munthe,6
http://www.wikidata.org/entity/Q3168368,Jean-Paul Bignon,Jérôme II Bignon,6
http://www.wikidata.org/entity/Q1774989,Francisco de Paula del Villar y Carmona,Francisco de Paula del Villar y Lozano,6
http://www.wikidata.org/entity/Q2428427,Superman,Lara Lor-Van,6
http://www.wikidata.org/entity/Q4960104,Annette Kullenberg,Helena Borgström,6
http://www.wikidata.org/entity/Q86219,Ottmar von Mohl,Robert von Mohl,5
http://www.wikidata.org/entity/Q90058,Alfred von Wurzbach,Constant von Wurzbach,5
http://www.wikidata.org/entity/Q528947,Martin Chemnitz,Martin Chemnitz,5
http://www.wikidata.org/entity/Q563817,Anna von Helmholtz,Robert von Mohl,5
http://www.wikidata.org/entity/Q1338012,Emma E. Hickox,Anne V. Coates,5
http://www.wikidata.org/entity/Q11739616,Klara Augusta Brunswick-Luneburg,"Augustus the Younger, Duke of Brunswick-Lüneburg",5
http://www.wikidata.org/entity/Q12366442,Karl Ludwig Struve,Jacob Struve,5
http://www.wikidata.org/entity/Q1520635,Rudolf Schöll,Adolf Schöll,5
http://www.wikidata.org/entity/Q1298822,Ferenc Szinnyei,József Szinnyei,5
http://www.wikidata.org/entity/Q1035142,Farkas Heller,Ágost Heller,5
http://www.wikidata.org/entity/Q1319217,Méric Casaubon,Isaac Casaubon,5
http://www.wikidata.org/entity/Q2419369,Édouard Fétis,François-Joseph Fétis,5
http://www.wikidata.org/entity/Q4207972,Li Baohua,Li Dazhao,5
http://www.wikidata.org/entity/Q1399815,Krisztián Ungváry,Rudolf Ungváry,5
http://www.wikidata.org/entity/Q4013467,Vincenzo Promis,Domenico Promis,5
http://www.wikidata.org/entity/Q6814836,William P. Cutler,Ephraim Cutler,5
http://www.wikidata.org/entity/Q14621389,Superboy,Lara Lor-Van,5
http://www.wikidata.org/entity/Q2522614,Victor Sparre,Victor Smith,5
http://www.wikidata.org/entity/Q3645690,Bruno Cetto,Adolfo Cetto,5
http://www.wikidata.org/entity/Q4517378,Alexander Oganovich Chubarian,Ogan Stepanovich Chubar'ian,5
http://www.wikidata.org/entity/Q1220669,Dezső Németh,Márta Pataki,5
http://www.wikidata.org/entity/Q16218372,Bovi,Ugboma Margaret,5
http://www.wikidata.org/entity/Q1337363,Emilie von Gleichen-Rußwurm,Friedrich Schiller,4
http://www.wikidata.org/entity/Q5576418,Godfrey Dewey,Melvil Dewey,4
http://www.wikidata.org/entity/Q124665,Ludwig August Struve,Jacob Struve,4
http://www.wikidata.org/entity/Q1378170,Paul von Nicolay,Ludwig Heinrich von Nicolai,4
http://www.wikidata.org/entity/Q959415,József Szinnyei,József Szinnyei,4
http://www.wikidata.org/entity/Q5907163,Stanisław Kętrzyński,Wojciech Kętrzyński,4
http://www.wikidata.org/entity/Q1897445,Marie Antoinette Menessier-Nodier,Charles Nodier,4
http://www.wikidata.org/entity/Q1561982,Joseph Laurent,Josef Laurent,4
http://www.wikidata.org/entity/Q820139,Jacques Le Rider,Georges Le Rider,4
http://www.wikidata.org/entity/Q4519492,Władysław Szajnocha,Karol Szajnocha,4
http://www.wikidata.org/entity/Q5541566,George Law,Edmund Law,4
http://www.wikidata.org/entity/Q13560768,Brenda Putnam,Herbert Putnam,4
http://www.wikidata.org/entity/Q16062696,Alfred Beckley,John J. Beckley,4
http://www.wikidata.org/entity/Q1037881,Máté Hollós,Eszter Tóth,4
http://www.wikidata.org/entity/Q2039213,Otto Hittmair,Rudolf Hittmair,4
http://www.wikidata.org/entity/Q5040172,Carl Fredrik Pechlin,Johann Pechlin,4
http://www.wikidata.org/entity/Q5040378,Carl Jesper Benzelius,Erik Benzelius the younger,4
http://www.wikidata.org/entity/Q6231393,Ernst Wallmark,Per Adam Wallmark,4
http://www.wikidata.org/entity/Q7821874,Tony Bellotto,Heloísa Liberalli Bellotto,4
http://www.wikidata.org/entity/Q55869281,Henriqueta Galeno,Juvenal Galeno,4
http://www.wikidata.org/entity/Q5711650,Augusto Fernández de Avilés,Augusto Fernández de Avilés y García-Alcalá,4
http://www.wikidata.org/entity/Q18526945,Frederic William Madden,Frederic Madden,4
http://www.wikidata.org/entity/Q1827033,Ernst Kossmann,Friedrich Kossmann,4
http://www.wikidata.org/entity/Q7359048,Roger Vale,Monte Vale,4
http://www.wikidata.org/entity/Q98878,August Lamey,Ernst Andreas Lamey,4
http://www.wikidata.org/entity/Q25401076,Lloyd Garmadon,Misako,4
http://www.wikidata.org/entity/Q43427017,Yuri Orestovich Gabel,Augustine Stanislavovna Gabel,4
http://www.wikidata.org/entity/Q5576418,Godfrey Dewey,Annie Dewey,4
http://www.wikidata.org/entity/Q11928066,Joaquim Arrufat i Ibáñez,Maria Luisa Ibáñez Milian,4
http://www.wikidata.org/entity/Q1801068,Reinhold Bechstein,Ludwig Bechstein,3
http://www.wikidata.org/entity/Q4120451,Mao Anlong,Mao Zedong,3
http://www.wikidata.org/entity/Q5742152,Hernán Alessandri,Arturo Alessandri,3
http://www.wikidata.org/entity/Q10914620,Eduardo Alessandri Rodríguez,Arturo Alessandri,3
http://www.wikidata.org/entity/Q18397177,Karl von Schiller,Friedrich Schiller,3
http://www.wikidata.org/entity/Q98139,Justus von Olshausen,Justus Olshausen,3
http://www.wikidata.org/entity/Q112518,Eva Frodl-Kraft,Victor Kraft,3
http://www.wikidata.org/entity/Q1330186,Elisabeth Pittermann,Bruno Pittermann,3
http://www.wikidata.org/entity/Q6776508,Martin S. Bergmann,Hugo Bergmann,3
http://www.wikidata.org/entity/Q2323968,Alexander Willem Byvanck,Willem Byvanck,3
http://www.wikidata.org/entity/Q1291633,Edward Baldwin Whitney,William Dwight Whitney,3
http://www.wikidata.org/entity/Q7693523,Ted Mondale,Joan Mondale,3
http://www.wikidata.org/entity/Q19822490,Christoph Bernoulli,Carl Christoph Bernoulli,3
http://www.wikidata.org/entity/Q55836907,Aimé Champollion-Figeac,Jacques-Joseph Champollion,3
http://www.wikidata.org/entity/Q807558,Barbara Mittler,Elmar Mittler,3
http://www.wikidata.org/entity/Q1682894,Reinhard Herbig,Gustav Herbig,3
http://www.wikidata.org/entity/Q1874309,Ludwig Dindorf,Gottlieb Immanuel Dindorf,3
http://www.wikidata.org/entity/Q3084481,Franciscus Dousa,Janus Dousa,3
http://www.wikidata.org/entity/Q3175064,Jean Viollet,Paul Viollet,3
http://www.wikidata.org/entity/Q4963436,Johanna Lohm,Johann Pechlin,3
